match_id,group,type,matchday,match_datetime,home_team,away_team,home_code,away_code,home_score,away_score,finished,goal_diff,total_goals,match_result
6,D,group,1,2026-06-13 21:00:00,Australia,Turkey,,,2,0,True,2,2,home_win
8,B,group,1,2026-06-13 12:00:00,Qatar,Switzerland,,,1,1,True,0,2,draw
31,D,group,2,2026-06-19 12:00:00,United States,Australia,,,2,0,True,2,2,home_win
33,E,group,2,2026-06-20 16:00:00,Germany,Ivory Coast,,,2,1,True,1,3,home_win
35,F,group,2,2026-06-20 12:00:00,Netherlands,Sweden,,,5,1,True,4,6,home_win
41,I,group,2,2026-06-22 17:00:00,France,Iraq,,,3,0,True,3,3,home_win
42,I,group,2,2026-06-22 20:00:00,Norway,Senegal,,,3,2,True,1,5,home_win
59,F,group,3,2026-06-25 18:00:00,Japan,Sweden,,,1,1,True,0,2,draw
95,R16,r16,5,2026-07-07 12:00:00,Winner Match 86,Winner Match 88,,,0,0,False,0,0,not_finished
101,SF,sf,7,2026-07-14 14:00:00,Winner Match 97,Winner Match 98,,,0,0,False,0,0,not_finished
102,SF,sf,7,2026-07-15 15:00:00,Winner Match 99,Winner Match 100,,,0,0,False,0,0,not_finished
5,C,group,1,2026-06-13 21:00:00,Haiti,Scotland,,,0,1,True,-1,1,away_win
22,L,group,1,2026-06-17 15:00:00,England,Croatia,,,4,2,True,2,6,home_win
39,H,group,2,2026-06-21 12:00:00,Spain,Saudi Arabia,,,4,0,True,4,4,home_win
44,J,group,2,2026-06-22 20:00:00,Jordan,Algeria,,,1,2,True,-1,3,away_win
45,K,group,2,2026-06-23 12:00:00,Portugal,Uzbekistan,,,5,0,True,5,5,home_win
46,L,group,2,2026-06-23 19:00:00,Panama,Croatia,,,0,1,True,-1,1,away_win
52,A,group,3,2026-06-24 19:00:00,Czech Republic,Mexico,,,0,3,True,-3,3,away_win
60,F,group,3,2026-06-25 18:00:00,Tunisia,Netherlands,,,1,3,True,-2,4,away_win
61,I,group,3,2026-06-26 15:00:00,Senegal,Iraq,,,0,0,False,0,0,not_finished
67,L,group,3,2026-06-27 17:00:00,Panama,England,,,0,0,False,0,0,not_finished
72,K,group,3,2026-06-27 19:30:00,Democratic Republic of the Congo,Uzbekistan,,,0,0,False,0,0,not_finished
86,R32,r32,4,2026-07-03 18:00:00,Argentina,Runner-up Group H,,,0,0,False,0,0,not_finished
88,R32,r32,4,2026-07-03 13:00:00,Runner-up Group D,Runner-up Group G,,,0,0,False,0,0,not_finished
100,QF,qf,6,2026-07-11 20:00:00,Winner Match 95,Winner Match 96,,,0,0,False,0,0,not_finished
2,A,group,1,2026-06-11 20:00:00,South Korea,Czech Republic,,,2,1,True,1,3,home_win
4,D,group,1,2026-06-12 18:00:00,United States,Paraguay,,,4,1,True,3,5,home_win
17,I,group,1,2026-06-16 15:00:00,France,Senegal,,,3,1,True,2,4,home_win
18,I,group,1,2026-06-16 18:00:00,Iraq,Norway,,,1,4,True,-3,5,away_win
21,K,group,1,2026-06-17 12:00:00,Portugal,Democratic Republic of the Congo,,,1,1,True,0,2,draw
37,G,group,2,2026-06-21 12:00:00,Belgium,Iran,,,0,0,True,0,0,draw
50,C,group,3,2026-06-24 18:00:00,Morocco,Haiti,,,4,2,True,2,6,home_win
51,A,group,3,2026-06-24 19:00:00,South Africa,South Korea,,,1,0,True,1,1,home_win
87,R32,r32,4,2026-07-03 20:30:00,Winner Group K,3rd Group D/E/I/J/L,,,0,0,False,0,0,not_finished
98,QF,qf,6,2026-07-10 12:00:00,Winner Match 93,Winner Match 94,,,0,0,False,0,0,not_finished
9,E,group,1,2026-06-14 19:00:00,Ivory Coast,Ecuador,,,1,0,True,1,1,home_win
10,E,group,1,2026-06-14 12:00:00,Germany,Curaçao,,,7,1,True,6,8,home_win
12,F,group,1,2026-06-14 20:00:00,Sweden,Tunisia,,,5,1,True,4,6,home_win
25,A,group,2,2026-06-18 19:00:00,Mexico,South Korea,,,1,0,True,1,1,home_win
27,B,group,2,2026-06-18 15:00:00,Canada,Qatar,,,6,0,True,6,6,home_win
30,C,group,2,2026-06-19 18:00:00,Scotland,Morocco,,,0,1,True,-1,1,away_win
32,D,group,2,2026-06-19 20:00:00,Turkey,Paraguay,,,0,1,True,-1,1,away_win
43,J,group,2,2026-06-22 12:00:00,Argentina,Austria,,,2,0,True,2,2,home_win
49,C,group,3,2026-06-24 18:00:00,Scotland,Brazil,,,0,3,True,-3,3,away_win
53,B,group,3,2026-06-24 12:00:00,Bosnia and Herzegovina,Qatar,,,3,1,True,2,4,home_win
58,D,group,3,2026-06-25 19:00:00,Turkey,United States,,,3,2,True,1,5,home_win
62,I,group,3,2026-06-26 15:00:00,Norway,France,,,0,0,False,0,0,not_finished
63,G,group,3,2026-06-26 20:00:00,Egypt,Iran,,,0,0,False,0,0,not_finished
65,H,group,3,2026-06-26 19:00:00,Cape Verde,Saudi Arabia,,,0,0,False,0,0,not_finished
66,H,group,3,2026-06-26 18:00:00,Uruguay,Spain,,,0,0,False,0,0,not_finished
70,J,group,3,2026-06-27 21:00:00,Jordan,Argentina,,,0,0,False,0,0,not_finished
76,R32,r32,4,2026-06-29 12:00:00,Brazil,Runner-up Group F,,,0,0,False,0,0,not_finished
83,R32,r32,4,2026-07-02 19:00:00,Runner-up Group K,Runner-up Group L,,,0,0,False,0,0,not_finished
85,R32,r32,4,2026-07-02 20:00:00,Switzerland,3rd Group E/F/G/I/J,,,0,0,False,0,0,not_finished
93,R16,r16,5,2026-07-06 14:00:00,Winner Match 83,Winner Match 84,,,0,0,False,0,0,not_finished
96,R16,r16,5,2026-07-07 13:00:00,Winner Match 85,Winner Match 87,,,0,0,False,0,0,not_finished
