id,group,type,matchday,local_date,local_date_parsed,home_team_id,away_team_id,home_team,away_team,home_code,away_code,home_score,away_score,home_scorers,away_scorers,stadium_id,finished,time_elapsed,goal_diff,total_goals,match_result
6,D,group,1,06/13/2026 21:00,2026-06-13 21:00:00,15,16,Australia,Turkey,,,2,0,"{""Nestory Irankunda 27'"",""C. Metcalfe 75'""}",null,13,True,finished,2,2,home_win
8,B,group,1,06/13/2026 12:00,2026-06-13 12:00:00,7,8,Qatar,Switzerland,,,1,1,"{""B. Khoukhi 90'+5'""}","{""Breel Embolo 17' (p)""}",15,True,finished,0,2,draw
31,D,group,2,06/19/2026 12:00,2026-06-19 12:00:00,13,15,United States,Australia,,,2,0,"{""Kamrvn Bargs 11'"",""Alex Freeman 43'""}",null,14,True,finished,2,2,home_win
33,E,group,2,06/20/2026 16:00,2026-06-20 16:00:00,17,19,Germany,Ivory Coast,,,2,1,"{""Dniz Avndav 68'"",""Dniz Avndav 90+4'""}","{""Franck Kessié 30'""}",12,True,finished,1,3,home_win
35,F,group,2,06/20/2026 12:00,2026-06-20 12:00:00,21,23,Netherlands,Sweden,,,5,1,"{""Brian Brobbey 5'"",""Brian Brobbey 17'"",""Kvdi Khakpv 47'"",""Kvdi Khakpv 54'"",""Crysencio Summerville 89'""}","{""Anthony Elanga 59'""}",5,True,finished,4,6,home_win
41,I,group,2,06/22/2026 17:00,2026-06-22 17:00:00,33,35,France,Iraq,,,3,0,"{""Kylian Mbappé 14'"",""Kylian Mbappé 54'"",""Ousmane Dembélé 66'""}",null,10,True,finished,3,3,home_win
42,I,group,2,06/22/2026 20:00,2026-06-22 20:00:00,36,34,Norway,Senegal,,,3,2,"{""Markvs Hlmgrn Pdrsn 43'"",""Erling Haaland 48'"",""Erling Haaland 58'""}","{""Ismaïla Sarr 53'"",""Ismaïla Sarr 90+3'""}",11,True,finished,1,5,home_win
59,F,group,3,06/25/2026 18:00,2026-06-25 18:00:00,22,23,Japan,Sweden,,,1,1,"{""Daizen Maeda 56'""}","{""Anthony Elanga 62'""}",4,True,finished,0,2,draw
95,R16,r16,5,07/07/2026 12:00,2026-07-07 12:00:00,0,0,Winner Match 86,Winner Match 88,,,0,0,null,null,7,False,notstarted,0,0,not_finished
101,SF,sf,7,07/14/2026 14:00,2026-07-14 14:00:00,0,0,Winner Match 97,Winner Match 98,,,0,0,null,null,4,False,notstarted,0,0,not_finished
102,SF,sf,7,07/15/2026 15:00,2026-07-15 15:00:00,0,0,Winner Match 99,Winner Match 100,,,0,0,null,null,7,False,notstarted,0,0,not_finished
5,C,group,1,06/13/2026 21:00,2026-06-13 21:00:00,11,12,Haiti,Scotland,,,0,1,null,"{""J. McGinn 28'""}",9,True,finished,-1,1,away_win
22,L,group,1,06/17/2026 15:00,2026-06-17 15:00:00,45,46,England,Croatia,,,4,2,"{""H. Kane 12'(p)"",""H. Kane 42'"",""J. Bellingham 47'"",""M. Rashford 85'""}","{""M. Baturina 36'"",""P. Musa 45+5'""}",4,True,finished,2,6,home_win
39,H,group,2,06/21/2026 12:00,2026-06-21 12:00:00,29,31,Spain,Saudi Arabia,,,4,0,"{""Lamine Yamal 10'"",""Mikel Oyarzabal 21'"",""Mikel Oyarzabal 24'"",""Hassan Mohamed Altmbkti 49'""}",null,7,True,finished,4,4,home_win
44,J,group,2,06/22/2026 20:00,2026-06-22 20:00:00,40,38,Jordan,Algeria,,,1,2,"{""Al Rashdan 36'""}","{""Nzir Bnbvali 69'"",""Amine Gouiri 82'""}",15,True,finished,-1,3,away_win
45,K,group,2,06/23/2026 12:00,2026-06-23 12:00:00,41,43,Portugal,Uzbekistan,,,5,0,"{""Cristiano Ronaldo 6'"",""Nvnv Mndz 17'"",""Cristiano Ronaldo 39'"",""Abdalvhid Namtvf 60'"",""Rafael Leão 87'""}",null,5,True,finished,5,5,home_win
46,L,group,2,06/23/2026 19:00,2026-06-23 19:00:00,48,46,Panama,Croatia,,,0,1,null,"{""Ante Budimir 54'""}",12,True,finished,-1,1,away_win
52,A,group,3,06/24/2026 19:00,2026-06-24 19:00:00,4,1,Czech Republic,Mexico,,,0,3,null,"{""Mateo Chávez 55'"",""Jvlian Kviinvnz 61'"",""Álvaro Fidalgo 90+4'""}",1,True,finished,-3,3,away_win
60,F,group,3,06/25/2026 18:00,2026-06-25 18:00:00,24,21,Tunisia,Netherlands,,,1,3,"{""Hazm Mstvri 54'""}","{""Alis Skhiri 3'"",""Brian Brobbey 7'"",""Ian Fn Hkh 62'""}",6,True,finished,-2,4,away_win
61,I,group,3,06/26/2026 15:00,2026-06-26 15:00:00,34,35,Senegal,Iraq,,,0,0,null,null,12,False,notstarted,0,0,not_finished
67,L,group,3,06/27/2026 17:00,2026-06-27 17:00:00,48,45,Panama,England,,,0,0,null,null,11,False,notstarted,0,0,not_finished
72,K,group,3,06/27/2026 19:30,2026-06-27 19:30:00,42,43,Democratic Republic of the Congo,Uzbekistan,,,0,0,null,null,7,False,notstarted,0,0,not_finished
86,R32,r32,4,07/03/2026 18:00,2026-07-03 18:00:00,37,0,Argentina,Runner-up Group H,,,0,0,null,null,8,False,notstarted,0,0,not_finished
88,R32,r32,4,07/03/2026 13:00,2026-07-03 13:00:00,0,0,Runner-up Group D,Runner-up Group G,,,0,0,null,null,4,False,notstarted,0,0,not_finished
100,QF,qf,6,07/11/2026 20:00,2026-07-11 20:00:00,0,0,Winner Match 95,Winner Match 96,,,0,0,null,null,6,False,notstarted,0,0,not_finished
